time (ms),  accel x,  accel y,  accel z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1469406544625, 12.320562, 9.143456, -1.7172412, 1.3720033, 3.1202996, 3.755905, 5.890228, 1.8150749, -0.66082525, 230.5175, -131.6441, 80.67043
1469406544730, 17.769167, 9.509171, -0.09935937, -0.6114761, 0.743423, 3.767206, 15.423685, 0.6808157, 3.468452, 278.5589, -115.810165, 14.878409
1469406544839, 7.912238, 11.728596, -2.054225, -0.1863139, -1.3011429, 1.2134838, 2.538145, 3.6850576, -0.44455886, 237.15912, -124.893906, 33.7479
1469406544942, 1.654992, 10.810419, -0.641646, -0.20433442, -0.9773844, 0.44868052, -1.940626, 1.7351027, 0.2967286, 254.69473, -112.26752, 21.61335
1469406545045, 0.9427169, 9.8916445, 0.45729253, 6.1086525E-4, -0.61819565, 1.1484267, -0.92685944, 0.26486397, 0.47133553, 273.06708, -100.99062, 10.990364
1469406545149, -3.1483753, 14.141353, 0.20949265, 0.6835582, -0.5696318, 2.0778582, -3.1292617, 4.3348284, 0.25539207, 349.08536, -90.29075, -0.11167276
1469406545255, -2.594716, 19.608511, 1.0139444, 1.1976013, 0.12461651, 3.55829, -2.8161345, 9.824163, 1.6367776, 61.79451, -93.86494, 1.296374
1469406545358, 8.265982, 9.279925, -0.8206126, 0.009162978, -1.3658947, 0.88422745, 4.726598, 0.21130848, 0.3640104, 23.55514, -112.3706, 21.320166
1469406545459, 6.253655, 1.8854338, -2.2403743, -1.713477, -0.4251622, -4.5689664, -0.13532066, -5.31198, -0.35658896, 246.01616, -132.78296, 73.571884
1469406545561, 9.100361, 14.927249, -6.9605427, -1.5183055, -0.35002577, -7.049385, 3.2476058, 7.547253, -4.2308292, 246.61116, -131.18823, 64.99574
1469406545670, 11.736377, 3.752911, 0.13826515, -1.4010195, -0.6169739, -2.1111503, 6.49974, -4.219104, 2.417521, 246.96175, -125.61785, 33.300007
1469406545771, 2.055422, -4.4179006, -18.27554, -0.08002335, 5.3404894, 0.6792821, -6.0919113, -9.875776, -18.329685, 207.02928, -33.817436, 89.61922
1469406545873, 6.3105173, 12.366651, -2.2577322, 0.21930063, 0.94225967, 1.7892243, 0.6623812, 4.472892, -0.85861504, 234.77838, -126.39559, 35.58445
1469406545975, 0.9708488, 10.110115, 0.25797522, -0.06291912, -0.06414085, 0.5119051, -2.7727618, 1.0882082, 1.1303256, 255.48245, -113.07706, 22.535845
1469406546080, 1.0564415, 8.467094, 1.1372458, -0.05009095, -0.5335908, 0.98746365, -0.45680904, -1.2220669, 1.1123642, 282.62494, -81.1221, 8.87673
1469406546183, -1.7070658, 11.807006, 0.3752911, 0.344528, -0.78038037, 1.9459113, -1.8711048, 2.0056658, 0.0974696, 321.90845, -88.11446, 0.958835
1469406546286, -7.941567, 14.516644, -1.4802152, 0.8906415, -0.43371433, 3.0705142, -6.1488853, 4.8804083, -1.1644919, 72.35468, -100.69701, -10.538573
1469406546391, 7.827842, 12.267291, 2.0189106, 0.73639804, -0.024129177, 2.7736337, 7.912937, 2.4624596, 1.8502194, 82.29653, -88.8966, -0.4972492
1469406546495, 6.187814, 0.8487445, -0.7009025, -1.2202033, -0.65270954, -2.997821, 1.2861862, -7.6317873, -0.22652406, 305.40787, -120.14315, 30.027311
1469406546599, 4.7381253, 4.2754455, -2.9293058, -1.5916094, 0.42180246, -6.5011334, -2.5999064, -2.055263, -1.4307014, 226.29312, -139.79288, 78.45753
1469406546701, -0.55365914, 12.312182, -2.545635, -2.3930645, -0.025045475, -5.946773, -4.542836, 3.4741545, -1.0806755, 260.11194, -115.68003, 24.292753
1469406546803, 12.952033, 9.25359, -5.8693852, 1.382388, 3.3441818, 3.8713584, 5.886532, 2.7842088, -3.7726817, 231.0837, -138.72353, 73.47162
1469406546905, 19.607914, 5.409699, -3.8606503, -0.36041048, -0.5500842, 4.1120396, 16.336426, -2.9766393, 0.029994965, 272.37527, -121.22164, 21.310627
1469406547007, 5.729325, 9.242217, 0.32621, -0.20219639, -1.3341297, 1.1151345, 0.8846793, 0.8641186, 1.9096385, 245.85446, -121.31439, 30.0387
1469406547112, 2.4450784, 8.933365, 0.08080431, -0.06994407, -0.7498371, 0.76052725, -0.13770795, -0.52238464, 0.3781284, 267.35428, -105.373505, 15.277368
1469406547227, 0.7565677, 12.301409, -0.89423436, 0.21227567, -0.14782938, 1.4092661, -1.0204589, 2.6640778, -0.5275892, 287.55084, -100.662476, 10.447416
1469406547329, -4.3185415, 15.139136, 1.347337, 0.94959, -0.31673363, 2.7107146, -3.536072, 5.3673534, 1.0820057, 32.20815, -85.167015, -4.5781565
1469406547432, 2.034473, 16.586432, 0.47524905, 1.0714576, 0.14721853, 3.6942077, 3.0356755, 6.832939, 0.66855395, 88.41858, -95.96838, -5.8609233
1469406547535, 6.43741, 4.9105077, 0.42078096, -0.49327368, -0.8194757, -0.7593055, 2.6672623, -4.1282926, 0.92720836, 27.746384, -112.82395, 22.641363
1469406547638, 6.245275, 1.3251907, -0.16639702, -1.4010195, -0.09560041, -5.278181, -1.0649586, -5.1907415, 0.3565951, 214.37506, -138.36061, 85.90789
1469406547751, 8.808268, 14.516644, 0.40282443, -2.3344216, -1.3399329, -7.374976, 3.8307543, 6.2959595, 2.3560374, 248.62991, -123.04142, 31.194338
1469406547853, 14.125192, 10.338163, -5.79337, 0.59223384, 0.25503623, 1.8915442, 7.3206244, 3.3683448, -4.6576395, 228.25287, -134.70616, 80.52428
1469406547955, 19.607914, 7.7679873, -7.695563, 1.3356569, -1.9474384, 5.667302, 17.161087, -0.85518837, -3.717592, 277.64536, -118.43965, 15.841289
1469406548062, 6.133945, 9.266159, -0.374094, -0.25228736, -0.8341365, 1.3362677, 1.1723795, 0.9351034, 1.091088, 241.54514, -121.83928, 30.775942
1469406548163, -0.59974754, 9.947908, -0.19512744, -0.0720821, -0.46303585, 0.5589417, -3.502334, 0.6030302, 0.45188963, 263.04852, -107.65266, 17.25517
1469406548266, 2.961029, 9.506178, -0.10654198, 0.1469131, -0.623388, 1.3613132, 1.584859, -0.20341682, -0.12498321, 284.2564, -81.93236, 8.066973
1469406548368, -2.8054059, 13.38239, -0.13347675, 0.66737026, -0.4089743, 2.2162192, -2.6567097, 3.5806513, -0.40585315, 342.3362, -88.18663, -0.8691329
1469406548471, -2.5881321, 19.608511, -3.043629, 1.0757337, -0.66706485, 3.4504724, -1.9131035, 9.836641, -2.568983, 69.04584, -94.82695, -3.951644
1469406548584, 8.402451, 9.792285, 1.2910733, -0.14294247, -0.6059783, 0.87689704, 5.2510595, 0.50647736, 1.4045892, 48.467438, -108.75737, 18.74604
1469406548686, 5.6066217, 2.4714148, 0.18674773, -1.3017539, -0.17012598, -4.884173, -0.9485388, -4.8216944, 0.29063818, 213.78448, -131.95328, 89.09202
1469406548789, 9.008782, 16.191986, -5.3049526, -1.5732834, -0.61422503, -7.0512176, 3.5103831, 8.2225485, -3.747364, 241.35762, -125.64369, 34.60318
1469406548894, 12.76708, 1.2785037, 1.2090719, -1.967597, -1.9324722, -2.4010057, 7.757133, -7.0121756, 2.7372959, 246.97345, -122.283676, 31.14401
1469406549015, 11.153987, 18.556858, -1.0408791, 2.3671029, 3.1676416, 3.5839465, 8.941866, 10.033975, 3.2762222, 279.46646, -119.64668, 14.550103
1469406549117, 7.3328414, 13.311163, -0.96905315, 0.08827003, 0.4083634, 1.8371773, 1.7954788, 5.3994327, 0.73756874, 236.48328, -126.21828, 34.987896
1469406549223, 2.8520927, 9.793482, 0.4878186, -0.14996742, -0.9505063, 0.43127087, -1.0574334, 0.83774567, 1.3129108, 251.26587, -114.044266, 23.583136
1469406549325, 0.7116765, 9.260772, 0.47524905, 0.12797627, -0.64904433, 1.1438452, -0.36361063, -0.48647594, 0.40246907, 286.5476, -83.69043, 6.2952437
1469406549427, -1.8650831, 13.1555395, -0.48722005, 0.6740898, -0.37018433, 2.2220223, -1.438229, 3.3679, -0.9234861, 335.0103, -86.431854, -2.4971752
1469406549530, -5.240309, 18.501194, -3.4691982, 1.1685852, -0.6411031, 3.1853569, -3.8977304, 8.791201, -3.1795785, 79.12737, -98.05102, -7.8722415
1469406549632, 12.379818, 9.531317, -7.784148, 0.344528, 0.43371433, 1.9434677, 10.738047, -0.11339474, -7.109976, 54.653576, -100.4268, 9.660574
1469406549734, 5.4527946, 1.292869, -0.7314286, -1.6487253, -0.19181168, -3.4074063, 0.050628662, -6.875856, -0.22255892, 240.33197, -123.59412, 33.47758
1469406549837, 7.439383, 6.6804214, -2.5785553, -1.5757269, -0.7849618, -6.2943554, 0.9368849, -0.3970933, -0.6300452, 237.38367, -133.80452, 73.318855
1469406549942, 4.6842556, 9.75697, -3.5290532, -1.7831156, -0.010079277, -4.659069, -0.19191551, 1.582098, -1.1700652, 252.97168, -123.52915, 30.815355
1469406550044, 8.43178, 16.2273, -7.7224975, 1.4471397, 2.8429668, 4.5393395, 1.0684252, 10.029312, -5.8419857, 223.48552, -140.80077, 75.67358
1469406550146, 13.472772, 5.0278234, 5.266645, -1.2296717, 1.5741998, 2.7586675, 7.6725473, -2.5851912, 7.4043636, 234.76508, -129.07591, 69.76824
1469406550248, 7.0886326, 10.630256, -0.6356605, -0.13591751, -1.1502593, 1.1850786, 1.7523685, 2.5168839, 0.7310389, 237.03824, -124.174194, 33.33341
1469406550351, 3.4518404, 9.239823, 0.61770403, -0.21746802, -0.8549059, 0.6252206, -0.28057837, 0.19091797, 1.2150102, 251.93677, -112.88851, 22.524942
1469406550452, 1.7142484, 10.332177, 0.54527944, 0.07727446, -0.32925636, 1.3100005, -0.014757395, 0.6792555, 0.5001966, 278.32803, -79.841644, 10.154982
1469406550554, -0.7140707, 13.055582, 0.40222588, 0.627664, -0.46089783, 2.4856107, -1.0199529, 3.2554207, 0.21875499, 345.79678, -87.915596, 1.787733
1469406550656, -0.8948329, 18.611326, -0.58777654, 0.5928447, -1.2336423, 3.6264014, -1.6149104, 8.8377075, -0.22964057, 47.038963, -94.70396, 4.2136893
1469406550758, 10.300454, 8.096592, -2.0338743, -0.22143865, -0.79045963, 1.5125023, 6.4820147, -0.8059664, -0.5059992, 8.649856, -114.7958, 23.215214
1469406550860, 5.741296, 1.5592239, -0.8451532, -1.4410311, 0.7275405, -3.818824, -1.0627718, -5.3408995, 0.65929735, 239.65002, -135.2821, 77.531906
1469406550963, 6.949769, 9.592369, -3.2878375, -0.752586, -0.72295904, -6.8462725, 0.43612957, 2.646874, -0.94198895, 240.8533, -134.90782, 70.19382
1469406551075, 8.72507, 7.3897038, -2.8975825, -1.7724255, -0.4550946, -2.5179865, 4.4037, -1.1103497, -0.6073353, 256.34952, -119.915245, 26.948479
1469406551177, -14.4531975, -5.789778, -5.787384, -1.1911873, 5.381723, -0.4990769, -14.348948, -15.56856, -5.0560117, 295.12106, -94.32051, -0.6107948
1469406551279, 4.2718544, 13.106459, -0.7625532, -0.06047566, 1.389413, 1.7687603, -1.7003679, 5.5388093, 1.0356773, 233.65985, -129.4945, 73.243004
1469406551387, 1.7118542, 8.956709, 0.050278235, -0.05009095, -0.50854534, 0.36560285, -2.420602, 0.12836456, 1.1242999, 251.82095, -115.810295, 25.083805
1469406551488, -0.9068039, 9.582792, 0.23343466, 3.0543262E-4, -0.28710666, 0.6743952, -2.6145756, -0.06476593, 0.65597516, 280.83206, -100.33452, 10.03828
1469406551591, -0.75477207, 9.903615, 1.3611037, 0.21410827, -0.5907067, 1.3778065, -1.3948805, 0.12484169, 0.9919846, 298.12076, -85.67881, 3.7451801
1469406551695, -0.050278235, 13.335105, 0.18914193, 0.79320854, 0.11362094, 2.5525005, -0.60089785, 3.5440178, 0.23186944, 339.39532, -93.22842, 3.2187424
1469406551806, 10.30225, 11.450869, 0.7236475, 0.7644979, -1.894904, 3.5170567, 9.59738, 1.6877251, 1.3190947, 48.94244, -95.399025, 4.129422
1469406551908, 3.603872, 2.1799207, -0.7404069, -0.11636983, -0.34422258, -0.46028697, -1.406277, -6.1145835, 0.7662536, 300.84744, -122.24182, 31.133335
1469406552010, 6.71813, 3.4871547, -2.4851813, -0.5540548, 1.6062702, -4.3951755, -0.7875576, -2.3094962, 0.011601448, 231.66214, -143.76532, 71.60019
1469406552116, 9.081207, 18.091187, -4.745308, 0.35308012, 1.3310753, -6.282749, 3.2715292, 10.592394, -2.2581131, 233.90529, -130.12288, 66.82363
1469406552217, 16.463129, 13.50629, -8.896853, 1.847562, 5.442504, 0.63285637, 8.863491, 7.3324976, -8.348993, 191.56398, -140.98294, 85.87666
1469406552319, -6.7283053, 4.2957964, -9.076419, 0.5271767, 1.0445796, 0.34422258, -5.8576016, -4.2456875, -4.3377123, 311.59088, -119.42623, -5.820525
1469406552425, 17.881695, -1.2354081, -14.33229, 0.083383106, 1.5784758, -2.434298, 15.667956, -9.2306595, -9.102978, 254.2162, -125.38406, 15.476436
1469406552528, 4.5298295, 12.8927765, -2.7485435, -0.5888741, -3.3301318, 1.1624765, -0.61160994, 4.5890045, -1.8634435, 197.64537, -122.14016, 31.764515
1469406552631, -0.32680854, 9.36073, -1.7890673, -0.3680463, 0.24129178, -0.41141775, -4.1691327, 0.45490932, -0.34224582, 211.62675, -114.75028, 23.337282
1469406552736, 1.0552444, 9.973047, -1.9686323, -0.49968776, 0.70341134, -0.43096542, -0.8811425, 0.56818295, 0.0236907, 232.25941, -106.45767, 11.634168
1469406552838, -1.3347675, 9.561244, 0.3513491, -0.36163223, 0.44990227, -0.20616703, -1.5280204, -0.2153511, 1.0938059, 235.34406, -94.48689, 1.1324118
1469406552941, 0.6745663, 9.854534, 0.05746084, -0.14355333, 0.77213365, 0.008246681, -0.05114448, 0.0755806, 0.18305005, 227.33772, -94.307175, 4.244226
1469406553056, 1.7531542, 9.623494, -0.15622166, -0.059253927, 0.47219884, -0.07269296, 0.78416795, -0.13294792, 0.05183424, 227.4132, -95.800285, 5.671878
1469406553183, -0.092775315, 9.697714, 0.2741361, -0.032986723, 0.7849618, -0.2501493, -0.9609102, -0.065722466, 0.577538, 229.07852, -95.38085, 5.081203
1469406553285, 0.6961141, 9.766547, -0.2705448, 0.15241088, 0.5699373, -0.13927728, 0.09618425, -0.021367073, -0.18559039, 227.84195, -93.542274, 3.507438
1469406553387, -0.53809685, 9.491813, -0.40821138, 0.27030787, 0.26908615, -0.18600847, -0.7088129, -0.31297207, -0.32178807, 228.2013, -91.11751, 0.99750495
1469406553489, 0.34955344, 9.69113, -0.8900445, 0.30634892, 0.25992316, 0.051618114, 0.13485153, -0.095645905, -0.30410105, 227.42984, -93.64836, 1.256751
1469406553600, 0.86011696, 9.644443, -1.0564415, 0.3830125, 0.50732356, 0.098043874, 0.36310822, -0.11328983, -0.21379709, 222.90297, -95.725204, 2.9158325
1469406553703, 1.7160441, 9.355942, -2.5594015, 0.6224717, 3.6651914, -0.22479841, -0.24854541, -0.14513874, -1.1310399, 208.92375, -104.34056, 11.682711
1469406553807, -0.6003461, 9.870695, -1.6519991, 0.65148777, 3.6737435, -0.18112154, -1.4200106, 0.2979908, 0.31317115, 186.66286, -102.540146, 4.894025
1469406553916, 2.0907366, 9.664195, -1.9644425, 0.28527406, 1.5558738, -0.18784106, 1.42486, 0.020623207, -0.31261516, 164.38057, -100.463554, 3.9499335
1469406554019, 1.7543513, 9.475652, -1.8579005, 0.18936823, 1.031446, -0.25411993, 0.63503575, -0.015516281, 0.34102356, 146.75266, -104.57257, 6.7259574
1469406554121, 1.1079168, 9.505579, -1.7082629, 0.09773844, 1.5219707, -0.4654793, -0.026385784, -0.035779953, 0.2529261, 140.83871, -103.35742, 6.779658
1469406554226, 2.1230583, 9.36911, -1.8788497, -0.017104227, 1.0665708, -0.47983465, 1.0892466, -0.21812534, -0.09375143, 136.03094, -102.14291, 6.154543
1469406554327, 1.7986441, 9.172187, -1.9560628, -0.10629055, 0.64721173, -0.3885103, 0.75981045, -0.42373753, -0.22127724, 132.0887, -101.89918, 6.178653
1469406554429, 2.1691468, 8.866926, -1.9243397, -0.14996742, 0.18173242, -0.1863139, 1.2059274, -0.7491741, -0.25904548, 130.28612, -101.313225, 5.7200866
1469406554532, 0.5859809, 9.795278, -2.0494366, -0.21685717, 0.3115413, 0.08277224, -0.75643206, 0.199049, -0.5392202, 128.41685, -101.89057, 7.96341
1469406554634, 0.61052144, 9.520543, -1.2276269, -0.17501289, 0.40378192, 0.124005646, -0.8429282, -0.07284737, 0.19532156, 127.02412, -101.97079, 8.615098
1469406554753, 1.1180922, 9.627085, -1.8872294, -0.22540927, 0.113926366, 0.25625798, -0.5093708, 0.026838303, -0.7223141, 125.9742, -101.7761, 9.621484
1469406554863, 1.6071079, 9.754577, -0.47345337, -0.30024028, 0.008857546, 0.28130344, -0.25847018, 0.1705904, 0.44153616, 122.94461, -102.23284, 11.015205
1469406554968, 2.1769278, 9.615712, -0.0688333, -0.15607607, -0.25320363, 0.17837265, 0.023926497, 0.07239056, 0.6093927, 119.47502, -103.3077, 12.71326
1469406555075, 1.8130093, 9.475652, 0.22266077, -0.003970624, -0.23396139, 0.35185838, -0.47016883, -0.04026985, 0.8588579, 116.662445, -103.986206, 13.492073
1469406555197, 2.6408045, 9.398438, -0.6925228, 0.07360926, 0.02107485, 0.41325033, -0.12208295, 0.019245148, 0.060870945, 112.777374, -106.979065, 16.41372
1469406555299, 2.2744915, 9.402629, -0.3298013, 0.1518, -0.160963, 0.59315014, -0.86606073, 0.15653992, 0.57417524, 110.12804, -109.466125, 18.760714
1469406555402, 2.8700492, 9.878476, -1.3323733, 0.24220806, -0.21319197, 0.86834496, -0.90618587, 0.9028063, -0.17142105, 105.08294, -113.75682, 22.817417
1469406555509, 1.6873137, 10.588357, -1.1899183, 0.42088616, -0.18203785, 1.1756102, -2.8288808, 2.0314703, 0.40822947, 98.069725, -119.24255, 27.82441
1469406555613, -4.0539823, 15.67843, -1.881244, 0.79351395, 0.04520403, 1.9932534, -9.093963, 7.5485973, 0.28089023, 90.688805, -124.002594, 31.79629
1469406555715, 7.9272017, 10.617087, 1.977012, 1.1200215, -0.41996986, 2.3469443, 1.5413661, 3.6303592, 4.5415974, 79.7973, -134.56557, 68.11935
