time (ms),  accel x,  accel y,  accel z,  magneto x,  magneto y,  magneto z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1477622602484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1477622602585, -1.340753, 2.6318262, 9.077017, 38.568, 22.303, -66.824, -1.7654005, -0.36071593, 0.37048978, 0.29795218, 0.06980991, -0.2461319, 325.57007, -15.14442, -9.9689
1477622602686, -0.79248077, 2.4708161, 8.637681, 36.343, 21.887, -68.191, -0.26297748, -0.57604593, 0.011911872, 0.4196275, -0.20797753, -0.7178116, 325.1431, -15.8524475, -7.382184
1477622602793, -1.887828, 2.6497827, 7.689577, 32.603, 15.763, -73.892, 0.122478485, 0.28496864, 0.60139686, -0.3138429, -0.38006997, -1.5035152, 331.05835, -17.996506, -9.715629
1477622602895, 2.8496985, 0.91099375, 9.063849, 7.46, 28.28, -83.406, -1.7825048, -3.4440582, 0.79717916, 2.95519, -1.7163923, -0.3836956, 346.40692, -15.540463, -0.63973904
1477622602998, 4.203021, 0.3357868, 8.024766, -18.289, 63.522, -82.572, 2.2974641, -2.6896396, -0.99296147, 1.4300203, -2.1385896, -1.0503826, 350.79483, -14.614614, 16.991049
1477622603133, 8.316259, 2.3636756, 2.8125885, -45.396, 132.769, -0.498, 0.9502009, -0.66523224, 0.66767573, 3.3871775, -0.9857416, -4.975604, 5.443091, -19.971062, 32.32938
1477622603235, 7.347805, 2.4510639, 7.007828, -43.778, 135.848, 25.094, 0.3268129, 0.052839845, 0.9370673, 2.0003977, -0.7197428, -0.5764718, 17.924608, -18.864569, 35.186237
1477622603344, 7.941567, 1.1893197, 6.42903, -49.273, 145.819, 30.696, 0.95417154, 0.19547687, 1.4373659, 2.1970682, -1.606803, -1.0109181, 20.584326, -16.56633, 37.672283
1477622603447, 8.637083, 3.0723593, 5.843049, -57.513, 144.355, 46.139, 1.3548992, -2.8325822, -0.35613444, 2.1534786, -0.13608003, -0.77806664, 25.552532, -19.09708, 44.3988
1477622603556, 12.064383, 2.971803, 0.6392518, -71.467, 138.392, 63.792, -1.0980303, -7.0710707, 0.97066486, 3.2227173, -0.30136633, -2.0592113, 31.419653, -19.497782, 73.02789
1477622603661, 7.776367, -2.3014264, -2.6318262, -70.748, 142.517, 68.904, -0.6914995, 2.0363193, 2.0980167, -1.7856703, -1.7188616, -4.729081, 30.44129, 3.4056659, 77.62913
1477622603764, 9.647436, -8.907627, 6.2781954, -81.495, 144.63, 59.463, -4.8704286, 3.587917, 5.5552087, 3.1430688, -2.3052216, 3.0732255, 36.910275, 42.31902, 63.768635
1477622603866, 17.512388, -13.702016, 5.4899044, -66.998, 166.459, 46.357, -3.8069122, 0.50701815, 4.6373835, 16.50492, -4.1798496, 3.372416, 35.93758, 76.16556, 6.039576
1477622603975, 12.645575, -6.2303114, 3.8043866, -61.077, 182.601, 57.182, -1.0858129, -3.0488284, 0.37965274, 4.3743925, -1.3454757, 1.8304708, 20.893436, 29.875343, 76.57744
1477622604078, 0.2124854, -4.924873, -3.5823243, -53.565, 202.769, 64.689, -1.6826283, 0.9877691, -2.4828618, -7.8041096, 0.65954876, -4.430159, 17.832466, 34.712055, 83.96284
1477622604183, -1.0079589, -4.4717703, -1.9931729, -59.236, 195.263, 62.739, 0.15454891, 0.6976081, -0.21013765, -7.353821, 2.675815, 0.20055819, 337.71466, 133.20987, 70.93
1477622604296, 10.011953, -9.3026705, -3.196858, -61.248, 194.52, 67.089, -0.44501534, 0.3323107, 1.1942415, 4.7809925, -1.5069804, -0.36230326, 323.41333, 127.35049, 33.861877
1477622604398, 9.089587, -7.8206596, -12.961011, -68.493, 181.146, 68.891, -0.32345316, 0.23609942, 0.37782016, 2.4203315, -1.36514, -9.79594, 327.48376, 138.83119, 64.61209
1477622604514, 4.162918, -7.150882, -1.7124528, -85.348, 160.456, 83.717, 1.8918496, -1.8075503, 4.191757, -0.33165073, 1.1624298, 0.90634215, 7.455942, 122.03526, 28.397749
1477622604616, 5.439028, -9.160814, -2.4199393, -51.51, 177.613, 81.314, 0.16401732, 3.2345314, 1.9135354, 0.7586632, -0.79577446, -0.34854388, 6.761732, 121.460884, 29.227661
1477622604721, 3.3638535, -9.145252, 1.1755531, -46.778, 176.309, 80.706, -0.6374379, 0.20922135, -1.3735305, -1.1701293, -0.5610857, 2.5631714, 11.378743, 118.914604, 27.8421
1477622604827, -1.1833342, -8.723872, -3.822343, -48.858, 187.754, 68.009, 0.5155703, -2.1206186, 1.239751, -2.404132, 0.8478193, -2.0722637, 42.442955, 102.56735, 7.2684093
1477622604929, 2.9400797, -10.837354, -2.1021092, -49.891, 187.745, 63.633, 0.45356745, 0.54305923, -0.46211955, 1.1525407, -1.2508574, -1.0656887, 37.82054, 102.16343, 10.562323
1477622605032, 1.3682863, -6.2793927, -0.9636662, -51.948, 186.158, 58.029, 0.17867808, -0.022602014, -0.48502702, -0.7572118, 3.2478185, -0.0229792, 36.051113, 103.71063, 12.5766
1477622605136, 1.4335283, -5.4940944, 2.147599, -48.908, 190.644, 51.188, 0.58001655, 1.174083, 4.03843, 0.5877656, 4.27562, 2.0596342, 36.560596, 85.025665, 4.947757
1477622605239, -7.6309195, -19.608511, -4.3101616, -30.282, 196.644, 52.308, 1.0830641, 5.5451293, 0.7452556, -8.772242, -9.990301, -5.845681, 22.010845, 78.74975, 6.7672234
1477622605341, -5.9082913, -11.096526, 5.971139, -16.824, 194.883, 57.728, -1.3548992, -0.59773165, -1.6862935, -4.793256, -1.3547192, 5.815228, 23.107405, 83.40751, -6.5295873
1477622605447, 0.480636, -10.680533, 1.7615339, -16.436, 193.679, 57.528, -0.21013765, -0.6102544, 0.07544186, 0.91111195, -0.8966408, 1.2510978, 16.263271, 86.0959, -2.5192966
1477622605548, -1.1198878, -10.129269, 1.8710686, -16.436, 194.071, 59.187, 0.03145956, 0.18142697, 0.019547688, -0.20076323, -0.43419075, 0.71734047, 15.697769, 81.34896, -5.4156384
1477622605652, -0.45370123, -11.534067, 5.055357, -16.436, 193.67, 58.163, 1.2092078, -1.462106, -0.1554652, 0.16882828, -2.12889, 2.3487926, 9.741984, 73.54877, -3.786884
1477622605753, -0.7320272, -9.815628, 4.2036195, -18.058, 189.099, 55.381, 2.3930645, 2.0112739, 0.13927728, -0.0656091, -0.50500584, 1.1971924, 10.555067, 71.69887, -4.094024
1477622605855, -1.376666, -8.257003, 3.9618053, -12.405, 179.124, 51.298, 2.0790799, 2.130698, 0.027488936, -0.9255936, 0.7321644, 0.06799054, 8.0025015, 66.439705, -2.8726635
1477622605957, -3.5727475, -5.373187, 5.026028, -5.496, 170.027, 50.837, 1.6780468, 1.5381587, -0.13836098, -1.0539865, 2.690977, 0.046520233, 2.8510923, 55.3173, -17.34567
1477622606064, -4.347272, -4.9841294, 6.8444242, -3.9, 162.106, 50.769, 0.5345071, -0.035430185, -0.014966198, -0.6228504, 1.5317407, 0.53233194, 356.53937, 41.63891, -30.542538
1477622606167, -3.333926, -3.9731777, -0.47105917, -5.056, 163.357, 50.497, -1.0552697, -0.048563786, -0.3707952, 0.89498687, 1.4109023, -7.4923387, 354.56192, 33.300034, -31.060535
1477622606269, -2.7940333, -11.852495, 0.3573346, -12.094, 176.371, 50.186, -3.667635, -3.057686, 0.0143553335, 0.8782389, -2.8397856, -0.8492615, 8.278313, 66.786224, -22.168673
1477622606371, 8.166023, -19.608511, 5.9292407, -18.402, 189.141, 53.982, -4.611727, -2.0097466, 2.0570886, 9.812665, -9.944463, 6.184405, 18.43047, 99.78289, -9.669671
1477622606473, -6.0142345, -2.0638018, 2.8987796, -17.16, 195.024, 73.5, -1.6374242, 0.17806722, -0.86834496, -6.277923, 6.844101, -1.1939137, 7.0781093, 65.27877, 1.6955485
1477622606576, 2.0817583, -0.018555064, -0.6476316, -18.342, 196.656, 68.817, 1.8817704, -0.16218472, -0.9236283, 3.2596412, 6.2945333, -8.058967, 4.3460865, 40.072456, -9.030486
1477622606679, -17.873913, -19.608511, 10.150817, -20.487, 191.07, 57.971, 6.52007, -0.559858, 0.008246681, -17.909674, -12.498558, 3.3967314, 6.84432, 46.469967, 0.3033597
1477622606780, 9.622296, -17.012598, 0.7846996, -20.521, 169.744, 40.66, 6.9473705, 4.524068, -1.1954633, 9.393702, -14.629585, -8.725264, 8.319303, 14.063652, 1.376978
1477622606893, 4.1653123, 3.7415388, -17.031752, -5.743, 158.934, 43.757, -1.5867225, -0.10567969, 0.677755, 6.9003572, 6.6545696, -8.076073, 120.16803, 162.71971, -16.982563
1477622606995, 2.9658175, -7.867945, -15.025412, -21.131, 175.001, 39.724, 0.03481932, -1.6975945, 0.958753, 2.1669323, 1.6473622, -12.791334, 93.08383, 104.001045, 4.799173
1477622607097, 1.3389573, -17.829021, 1.1061212, -26.646, 187.145, 47.654, -3.8551705, -3.0494392, 3.6844337, 5.0863285, -8.998482, 3.1430736, 43.34499, 115.78082, -22.99466
1477622607200, -2.2822728, -9.446921, 4.350863, -18.988, 195.478, 70.518, -3.580892, 0.66889745, -0.17012598, -3.7218616, -0.18309593, 1.4734473, 7.8704033, 70.84726, 8.8330555
1477622607304, 5.4779334, -3.2932243, 2.3319526, -18.553, 198.24, 72.889, 0.8396343, -0.28496864, -0.14996742, 5.193288, 3.7165155, -4.520268, 6.339969, 45.62636, 2.3787332
1477622607416, 3.0921116, -19.608511, 9.181165, -23.587, 192.372, 52.758, 6.1529403, 1.428203, -1.6108516, 1.2671221, -15.050278, 0.69221306, 10.054379, 27.697958, 12.133008
1477622607517, 12.286445, -14.941614, 2.0799627, -29.866, 170.793, 40.705, 5.880494, 3.0427198, -2.7162123, 9.552002, -15.963284, -7.2821636, 14.02054, -5.9799986, 16.281763
1477622607618, -0.9983821, 6.0357823, -19.608511, -12.779, 159.03, 38.368, -2.4651468, 0.061086524, -0.048258353, -3.6013255, 15.143112, -22.148512, 5.459975, 68.2314, 15.950331
1477622607720, 4.6136265, -19.608511, 19.608511, -28.498, 181.375, 38.487, -3.5729508, -4.5191813, 1.1893547, 8.149975, -17.06224, 28.393791, 84.59446, 164.95087, -21.926323
1477622607843, -1.7555484, -12.060192, -5.3743844, -32.159, 187.779, 43.968, -2.958726, -0.43004912, 3.0778446, 1.9040395, -3.9264908, -1.2975302, 72.54929, 123.96216, -24.224354
1477622607944, 0.08499416, -16.096218, 16.970102, -21.313, 199.902, 67.764, -4.397008, -1.842675, -0.76083267, 4.8568497, -12.325956, 24.663273, 89.898155, 157.3898, -31.810156
1477622608045, 3.401562, -0.47225627, 2.5270798, -20.875, 203.315, 66.543, 0.643852, -4.099517, -0.91446525, 2.5194688, 6.663297, -4.141968, 7.085521, 46.687572, 7.5345907
1477622608146, 8.3821, -19.608511, 2.356493, -25.343, 199.494, 54.246, 6.2873306, 3.2049046, -1.717753, 5.2972155, -15.681971, -6.083659, 11.603202, 23.602915, 20.077412
1477622608249, 0.587178, -19.608511, 1.6286557, -36.122, 180.43, 42.451, 6.162714, 0.10140363, -3.7635407, -3.0342805, -21.508026, -7.284665, 15.446709, -11.168593, 22.11178
1477622608351, -7.9391727, 5.20679, -19.608511, -17.468, 161.651, 36.842, 0.07971791, 2.9599476, -0.4166101, -8.988776, 13.525765, -24.694115, 11.208932, 58.027176, 7.1909957
1477622608452, 0.5021838, -17.55668, 19.608511, -29.603, 184.364, 35.372, -5.122716, -3.3777795, 1.4489723, 5.133047, -16.718626, 28.212185, 356.9926, 175.09766, -28.291021
1477622608554, -12.100295, -15.564705, 0.5931635, -35.536, 190.055, 42.666, -1.6780468, -6.260758, 2.874121, -10.613799, -9.887717, 8.450172, 144.09961, 144.62737, -10.713366
1477622608655, 8.772954, -19.608511, 11.888409, -16.357, 201.243, 59.608, -3.9403863, 2.7482827, -1.5222762, 13.897921, -14.995569, 18.861635, 80.90731, 151.94044, -36.313995
1477622608757, 7.0491285, 0.37588966, 7.03596, -16.949, 205.448, 71.298, -0.5360342, -0.21594086, 0.8054258, 7.31187, 8.6328745, 1.7516847, 5.5987797, 57.349594, -1.8225628
1477622608858, 2.1697452, -3.2303767, 6.129755, -21.54, 205.651, 58.97, 3.0228667, -0.007330383, -1.7681495, -1.4794536, 0.9936843, -1.9331875, 11.021146, 25.514172, 24.350985
1477622608960, -9.635465, -19.608511, 13.833098, -31.28, 193.096, 47.245, 4.692667, -1.572978, -3.4596353, -13.842173, -18.037817, 5.1149035, 15.005741, 9.216547, 25.758265
1477622609063, -0.2896984, 9.821015, -14.90211, -22.595, 171.228, 34.106, 3.046385, 8.304713, -1.3799446, -2.5126672, 19.35487, -15.480394, 9.181179, 76.454094, 13.124914
1477622609166, -6.3470287, 0.9804256, -1.6663644, -28.062, 180.786, 34.004, -6.4828076, -5.935472, -0.5222898, -2.8804126, 0.020655274, 7.4567814, 333.96463, -174.3835, -20.805803
1477622609267, 0.06823475, -12.230181, -6.8121023, -23.498, 199.958, 44.174, -2.6771169, -3.2650747, 0.8035932, -0.99307686, -3.8216915, -1.8784118, 195.86154, 120.97107, 7.1937823
1477622609369, 16.555904, -19.608511, 7.4058642, -20.379, 210.612, 53.576, -6.225939, -0.84635377, 5.7516017, 20.135853, -13.090365, 13.798679, 100.308876, 138.34329, -29.248629
1477622609471, -8.996812, 4.712986, 1.7753005, -18.069, 214.111, 74.502, -1.4511104, 2.997821, 0.05681047, -7.031642, 13.446024, -2.2300153, 7.2938585, 62.938915, -12.681853
1477622609575, 1.620276, 1.6807296, 6.8222775, -20.086, 213.954, 63.732, 1.2205088, -2.1618521, -1.4230106, -1.2568758, 6.6211996, -1.1454163, 9.7151375, 30.250916, 19.854763
1477622609678, -15.449185, -19.608511, 12.720393, -23.954, 206.094, 49.253, 5.116913, 2.5531113, -4.3285913, -19.278816, -15.977571, 4.4547663, 13.448312, 21.731215, 24.859232
1477622609781, 8.598776, -6.751649, -10.772711, -26.374, 186.354, 37.762, 4.2342124, 5.5072556, -3.907705, 6.0683403, 2.3706474, -13.332202, 10.514016, 68.468414, 15.503487
1477622609884, -2.9388826, 9.64145, -17.664421, -16.02, 178.633, 39.178, -3.3918293, -3.2027664, -0.5204572, -6.4424806, 18.151342, -14.276656, 287.52533, 119.799774, 22.377403
1477622609992, 7.0742674, -4.1012673, -19.608511, -20.353, 199.78, 43.919, 0.89980453, 3.9110646, 1.4178182, 10.053173, -4.8809214, -10.297835, 342.2586, -175.44002, -17.741821
1477622610094, 0.516549, -19.608511, -1.5352819, -23.829, 210.26, 50.297, -4.5390344, -0.83108217, 5.101641, 4.435211, -12.079538, 3.3768518, 80.60584, 129.84848, -38.58117
1477622610198, -13.5457945, 0.641646, 6.8085113, -16.39, 218.626, 71.884, -2.4092526, 0.41691554, -0.63591075, -13.008727, 9.777956, 3.285758, 8.009317, 68.6926, -3.364191
1477622610300, 0.021547815, 0.4818331, 0.9708488, -16.685, 219.338, 65.563, 1.1856894, -2.316401, -0.5448918, -2.4623222, 6.264762, -6.5496902, 7.517109, 36.13534, 18.277262
1477622610405, 9.444528, -19.608511, 0.8888474, -18.17, 214.486, 54.884, 6.597039, 3.8820486, -3.7137554, 5.9706125, -16.10269, -7.5853205, 11.098019, 20.94639, 22.290771
1477622610511, 8.965687, -12.528857, -3.9761705, -21.107, 190.769, 40.007, 4.762611, 3.5756998, -3.940081, 6.8931723, -3.4430437, -7.0295434, 10.209369, 67.89489, 12.849575
1477622610621, 1.2114661, 6.7642183, -15.494077, -11.921, 184.971, 40.876, -4.333173, -1.8478674, -0.09010262, 2.4606118, 6.2639356, -5.7801857, 350.62112, -177.0758, -7.3276677
1477622610723, 10.4967785, -19.608511, -19.608511, -14.483, 204.185, 48.991, 5.148067, 6.083607, 3.5821137, 14.630651, -20.190529, -10.734799, 350.4722, -176.59753, -24.978748
1477622610824, -6.630143, -16.944365, -7.955932, -28.935, 204.013, 43.896, -4.3698244, -1.475545, 3.015231, -4.037839, -9.935204, -1.6059666, 115.7214, 134.37848, -22.207209
1477622610927, -1.4574703, -11.906365, 16.548124, -14.408, 212.664, 66.241, -3.4987307, -4.290107, -0.3640757, 2.541627, -10.938654, 25.449873, 0.82520807, 174.3369, -24.191925
1477622611031, 3.774459, 1.1719618, 3.5535939, -14.784, 214.764, 65.747, 0.68875057, -4.071111, -0.9016371, -0.5979819, 7.189084, -2.8375247, 9.692094, 37.8485, 34.37772
1477622611133, 14.945804, -18.257584, 6.479308, -18.635, 211.769, 55.256, 4.154189, 0.60139686, -0.85154617, 9.854443, -13.575586, -0.4724784, 10.662169, 28.517738, 36.21836
1477622611235, 5.109226, -19.608511, 1.074398, -31.275, 196.215, 46.708, 5.183497, -1.3191634, -3.7000108, -1.0042953, -20.323732, -6.559979, 14.29495, -4.182426, 38.68735
1477622611352, -6.583456, 9.527725, -19.608511, -13.778, 182.221, 37.933, -0.6133087, 2.2834144, -1.3445144, -10.552269, 18.063553, -22.357801, 0.93433744, 60.506557, 24.93651
1477622611454, 16.062698, -19.608511, 19.214666, -20.173, 203.727, 49.018, -2.9342911, -3.8655553, 2.769663, 22.290436, -20.099417, 26.774082, 344.56696, -177.13066, -39.483013
1477622611556, -7.2927384, -14.86081, -10.961852, -27.645, 203.858, 44.667, -2.1844542, -2.9874365, 1.0986412, 0.22692585, -16.144062, -4.7991967, 321.94376, -172.48097, -50.66406
1477622611658, 4.184466, -16.908451, 19.608511, -15.73, 213.938, 64.099, -4.6890016, -3.6117408, 0.5345071, 10.969637, -23.524557, 22.13021, 286.47058, -137.57262, -69.61249
1477622611759, 8.250419, 0.78050977, 7.8954787, -15.361, 217.042, 67.909, -0.6462954, 1.5274686, 0.49418998, 5.3739653, 7.042052, 0.91769266, 8.66985, 39.680027, 22.402931
1477622611861, 2.9502552, -6.3033347, 4.8099513, -18.797, 217.593, 60.269, 3.4800992, 0.63438356, -1.1068878, -1.0157647, -1.8319912, -2.96489, 10.316007, 27.126085, 27.026556
1477622611962, -8.10138, -19.608511, 9.81084, -26.664, 204.261, 48.886, 5.4895406, -1.260215, -2.9361238, -12.142151, -18.162348, 0.99317646, 12.406897, 8.480194, 24.620028
1477622612065, -3.5063083, 6.731298, -14.632164, -16.389, 183.676, 33.862, 2.5329528, 9.497122, -1.2935071, -6.7593803, 15.981117, -14.462495, 344.06674, 109.40062, 19.376286
1477622612171, -4.3400893, -1.9782091, 0.6422446, -25.906, 195.649, 31.156, -5.509088, -7.230812, 0.3912592, -0.6737995, -3.7070007, 9.571969, 305.47302, -169.8464, -22.321655
1477622612272, -0.8439561, -13.633781, -11.795034, -21.694, 200.402, 44.284, -0.57635134, -5.994726, 0.30879238, 4.5225987, -13.117183, -3.6033535, 353.0528, 176.98035, -33.229713
1477622612375, 8.729858, -19.608511, -1.8579005, -22.9, 210.22, 51.164, -6.1877594, -1.323745, 4.9028044, 11.987644, -13.270488, 4.879058, 108.235855, 139.73691, -25.806992
1477622612479, -3.2423477, 3.288436, 5.2528787, -17.956, 215.444, 72.059, -2.264172, 1.4446963, 0.5589417, -3.23265, 12.355946, 1.5178349, 7.3243833, 67.612434, -0.06127545
1477622612585, 0.53330845, 2.2469583, 3.5924997, -19.58, 216.055, 65.634, 1.4566082, -1.4712689, -0.91996306, -3.5080757, 7.66704, -3.511043, 10.778603, 33.552067, 29.636635
1477622612686, 8.125322, -19.608511, 3.5739446, -21.011, 208.485, 52.597, 5.8157425, 4.4959683, -4.1215076, 4.050277, -16.116653, -4.6340594, 13.148917, 20.859056, 26.40312
1477622612788, 12.1763115, -13.854647, 0.79966336, -27.453, 188.301, 41.973, 4.5249844, 4.5766025, -3.0277536, 8.44304, -16.074745, -7.9926186, 14.165497, -13.08446, 23.006458
